dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
mpra_enhancers,xgboost,kmer_count,43,max_depth,6.0,2,1.0,train,0.7998510057114477,0.7871385184207051,0.8405245346869712,0.7401291283834119,0.8940402729109365
mpra_enhancers,xgboost,kmer_count,43,max_depth,6.0,2,1.0,test,0.776595744680851,0.8405063291139241,0.9485714285714286,0.7545454545454545,0.9650765659134077
mpra_enhancers,xgboost,kmer_count,44,max_depth,1.0,2,1.0,train,0.7632853240625777,0.7452395269593105,0.8067409228988861,0.6924509560466848,0.8557006511274134
mpra_enhancers,xgboost,kmer_count,44,max_depth,1.0,2,1.0,test,0.7943262411347518,0.8564356435643564,0.9402173913043478,0.7863636363636364,0.9568957660082227
mpra_enhancers,xgboost,kmer_count,44,max_depth,2.0,2,1.0,train,0.7747703004718153,0.7579396850813984,0.8191520046149409,0.7052396324807549,0.8697188266872375
mpra_enhancers,xgboost,kmer_count,44,max_depth,2.0,2,1.0,test,0.7836879432624113,0.8471177944862155,0.9441340782122905,0.7681818181818182,0.9628412780398852
mpra_enhancers,xgboost,kmer_count,44,max_depth,3.0,2,1.0,train,0.7850136578097839,0.7695174708818635,0.8292927843924831,0.7177799851005712,0.8793600643412269
mpra_enhancers,xgboost,kmer_count,44,max_depth,3.0,2,1.0,test,0.7801418439716312,0.8434343434343434,0.9488636363636364,0.759090909090909,0.9647840295051497
mpra_enhancers,xgboost,kmer_count,44,max_depth,4.0,2,1.0,train,0.7906009436304942,0.776073823275576,0.8339278071051506,0.7257263471566924,0.8864835126647195
mpra_enhancers,xgboost,kmer_count,44,max_depth,4.0,2,1.0,test,0.776595744680851,0.8413098236775819,0.943502824858757,0.759090909090909,0.9633730722606797
mpra_enhancers,xgboost,kmer_count,44,max_depth,5.0,2,1.0,train,0.7968711199404023,0.783969364848805,0.8371404399323181,0.7371492426123665,0.8914013831743688
mpra_enhancers,xgboost,kmer_count,44,max_depth,5.0,2,1.0,test,0.7801418439716312,0.8434343434343434,0.9488636363636364,0.759090909090909,0.9660274797997495
mpra_enhancers,xgboost,kmer_count,44,max_depth,6.0,2,1.0,train,0.7998510057114477,0.7871385184207051,0.8405245346869712,0.7401291283834119,0.8940402729109365
mpra_enhancers,xgboost,kmer_count,44,max_depth,6.0,2,1.0,test,0.776595744680851,0.8405063291139241,0.9485714285714286,0.7545454545454545,0.9650765659134077
mpra_enhancers,xgboost,kmer_count,45,max_depth,1.0,2,1.0,train,0.7632853240625777,0.7452395269593105,0.8067409228988861,0.6924509560466848,0.8557006511274134
mpra_enhancers,xgboost,kmer_count,45,max_depth,1.0,2,1.0,test,0.7943262411347518,0.8564356435643564,0.9402173913043478,0.7863636363636364,0.9568957660082227
mpra_enhancers,xgboost,kmer_count,45,max_depth,2.0,2,1.0,train,0.7747703004718153,0.7579396850813984,0.8191520046149409,0.7052396324807549,0.8697188266872375
mpra_enhancers,xgboost,kmer_count,45,max_depth,2.0,2,1.0,test,0.7836879432624113,0.8471177944862155,0.9441340782122905,0.7681818181818182,0.9628412780398852
mpra_enhancers,xgboost,kmer_count,45,max_depth,3.0,2,1.0,train,0.7850136578097839,0.7695174708818635,0.8292927843924831,0.7177799851005712,0.8793600643412269
mpra_enhancers,xgboost,kmer_count,45,max_depth,3.0,2,1.0,test,0.7801418439716312,0.8434343434343434,0.9488636363636364,0.759090909090909,0.9647840295051497
mpra_enhancers,xgboost,kmer_count,45,max_depth,4.0,2,1.0,train,0.7906009436304942,0.776073823275576,0.8339278071051506,0.7257263471566924,0.8864835126647195
mpra_enhancers,xgboost,kmer_count,45,max_depth,4.0,2,1.0,test,0.776595744680851,0.8413098236775819,0.943502824858757,0.759090909090909,0.9633730722606797
mpra_enhancers,xgboost,kmer_count,45,max_depth,5.0,2,1.0,train,0.7968711199404023,0.783969364848805,0.8371404399323181,0.7371492426123665,0.8914013831743688
mpra_enhancers,xgboost,kmer_count,45,max_depth,5.0,2,1.0,test,0.7801418439716312,0.8434343434343434,0.9488636363636364,0.759090909090909,0.9660274797997495
mpra_enhancers,xgboost,kmer_count,45,max_depth,6.0,2,1.0,train,0.7998510057114477,0.7871385184207051,0.8405245346869712,0.7401291283834119,0.8940402729109365
mpra_enhancers,xgboost,kmer_count,45,max_depth,6.0,2,1.0,test,0.776595744680851,0.8405063291139241,0.9485714285714286,0.7545454545454545,0.9650765659134077
mpra_enhancers,xgboost,kmer_count,46,max_depth,1.0,2,1.0,train,0.7632853240625777,0.7452395269593105,0.8067409228988861,0.6924509560466848,0.8557006511274134
mpra_enhancers,xgboost,kmer_count,46,max_depth,1.0,2,1.0,test,0.7943262411347518,0.8564356435643564,0.9402173913043478,0.7863636363636364,0.9568957660082227
mpra_enhancers,xgboost,kmer_count,46,max_depth,2.0,2,1.0,train,0.7747703004718153,0.7579396850813984,0.8191520046149409,0.7052396324807549,0.8697188266872375
mpra_enhancers,xgboost,kmer_count,46,max_depth,2.0,2,1.0,test,0.7836879432624113,0.8471177944862155,0.9441340782122905,0.7681818181818182,0.9628412780398852
mpra_enhancers,xgboost,kmer_count,46,max_depth,3.0,2,1.0,train,0.7850136578097839,0.7695174708818635,0.8292927843924831,0.7177799851005712,0.8793600643412269
mpra_enhancers,xgboost,kmer_count,46,max_depth,3.0,2,1.0,test,0.7801418439716312,0.8434343434343434,0.9488636363636364,0.759090909090909,0.9647840295051497
mpra_enhancers,xgboost,kmer_count,46,max_depth,4.0,2,1.0,train,0.7906009436304942,0.776073823275576,0.8339278071051506,0.7257263471566924,0.8864835126647195
mpra_enhancers,xgboost,kmer_count,46,max_depth,4.0,2,1.0,test,0.776595744680851,0.8413098236775819,0.943502824858757,0.759090909090909,0.9633730722606797
mpra_enhancers,xgboost,kmer_count,46,max_depth,5.0,2,1.0,train,0.7968711199404023,0.783969364848805,0.8371404399323181,0.7371492426123665,0.8914013831743688
mpra_enhancers,xgboost,kmer_count,46,max_depth,5.0,2,1.0,test,0.7801418439716312,0.8434343434343434,0.9488636363636364,0.759090909090909,0.9660274797997495
mpra_enhancers,xgboost,kmer_count,46,max_depth,6.0,2,1.0,train,0.7998510057114477,0.7871385184207051,0.8405245346869712,0.7401291283834119,0.8940402729109365
mpra_enhancers,xgboost,kmer_count,46,max_depth,6.0,2,1.0,test,0.776595744680851,0.8405063291139241,0.9485714285714286,0.7545454545454545,0.9650765659134077
